"Rank","AvgTotal","Folder","AvgCredito","AvgDebito","AvgExtrato","AvgValidacoes","LoadBalancer","Language","Framework","Database","SuccessCount","ErrorCount","Link"
"108","1.185487","edubarbieri","1.219688","1.118785","1.311828","15.260163","custom","golang","unknown","mariadb","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/edubarbieri"
"109","1.189373","rafaelktakahashi","1.222961","1.120751","1.52957","12.747967","nginx","rust","actix-web","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaelktakahashi"
"110","1.193438","trindadematheus-node","1.23288","1.095764","0.851075","31.495935","custom","node.js","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/trindadematheus-node"
"111","1.200754","rmauro-postgresql-yarp","0.971803","0.872844","8.017742","40.813008","custom","C#","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rmauro-postgresql-yarp"
"112","1.20573","marcusantunius","1.30715","1.033762","2.876344","15.01626","nginx","rust","actix_web","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcusantunius"
"113","1.207421","bun-saulofelipe","1.258258","1.132224","1.371505","14.764228","nginx","typescript","unknown","sqlite","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/bun-saulofelipe"
"114","1.210087","marcospaulo-kotlin","1.242548","1.107791","1.591398","23.186992","HAProxy","Kotlin","Undertow","H2_Database","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcospaulo-kotlin"
"115","1.224298","leodf-go","1.178097","1.11828","3.120968","14.186992","nginx","go","fiber","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/leodf-go"
"116","1.233663","garnizeh","1.264502","1.173626","1.381183","13.382114","nginx","go","unknown","PostgreSQL","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/garnizeh"
"117","1.238395","lubien-multi-tenant-sqlite","1.286254","1.15643","1.766667","11.95122","nginx","elixir","phoenix","sqlite","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lubien-multi-tenant-sqlite"
"118","1.241013","matheus-trindade","1.274471","1.183232","1.438172","11.487805","nginx","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/matheus-trindade"
"119","1.244216","felipeoriani","1.264753","1.189057","1.452688","12.560976","nginx","C#","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipeoriani"
"120","1.248004","nathanbahiadev__typescript","1.145569","1.12824","3.87957","16.609756","nginx","TypeScript","unknown","Postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/nathanbahiadev__typescript"
"121","1.2555","picklesdog-go","0.821903","1.436863","1.18172","13.902439","nginx","golang","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/picklesdog-go"
"122","1.262784","ghhernandes","1.317271","1.195209","1.251613","14.422764","custom","golang","httprouter","pgx","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ghhernandes"
"123","1.268019","johnpgr_vlang","1.289879","1.215053","1.476882","11.658537","nginx","V","vweb","PostgreSQL","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/johnpgr_vlang"
"124","1.268133","gasparbarancelli-nginx","1.305539","1.14289","2.737634","13.390244","nginx","Quarkus","unknown","Postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gasparbarancelli-nginx"
"125","1.27054","dscamargo","1.221349","1.165255","3.202151","13.95122","nginx","golang","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/dscamargo"
